Author,Website
"Hopkins, Ellen",https://ellenhopkinsbooks.com/
"Maas, Sarah J.",https://sarahjmaas.com/
"Morrison, Toni",https://www.britannica.com/biography/Toni-Morrison
"Myracle, Lauren",https://www.laurenmyracle.com/
"Atwood, Margaret",https://en.wikipedia.org/wiki/Margaret_Atwood
"Kobabe, Maia",https://en.wikipedia.org/wiki/Maia_Kobabe
"Arnold, Elana K.",https://elanakarnold.com/
"Matsui, Yūsei",https://en.wikipedia.org/wiki/Yusei_Matsui
"Picoult, Jodi",https://www.jodipicoult.com/
"Andrews, Jesse",https://www.jesseandrews.com/
"Johnson, George M.",https://iamgmjohnson.com/
"Green, John",https://www.johngreenbooks.com/
"Kaur, Rupi",https://rupikaur.com/
"Pérez, Ashley Hope",https://ashleyperez.com/
"Thomas, Angie",https://angiethomas.com/
"Reynolds, Jason",https://www.jasonwritesbooks.com/
"Jules, Jacqueline",http://www.jacquelinejules.com/
"Do, Anh",https://www.anhdo.com/
"Evison, Jonathan",https://en.wikipedia.org/wiki/Jonathan_Evison
"Faruqi, Saadia",https://saadiafaruqi.com/
"Alexie, Sherman",https://en.wikipedia.org/wiki/Sherman_Alexie
"Hoover, Colleen",https://www.colleenhoover.com/
"Jackson, Tiffany D.",https://www.writeinbk.com/
"Anderson, Laurie Halse",https://madwomanintheforest.com/
"McCormick, Patricia",https://www.patriciamccormick.com/